,No. of films,mean_rating,average_variance,var_of_ratings
Action,2159,6.317924083144076,3.690150144235452,0.14510826846627792
Adventure,1619,6.519453339680084,3.6845111945244553,0.15560301602556603
Animation,378,6.778377565178581,3.6153269734159736,0.10863753426259495
Biography,648,7.122692078488614,2.946596904911981,0.05222549311673242
Comedy,3825,6.4263520402610625,3.8530218514030943,0.12960650906842516
Crime,2010,6.577556608945709,3.2985918029435304,0.11121575883945148
Drama,5481,6.803717568026806,3.418042312521865,0.09335293742654883
Family,903,6.44258336887322,4.025844701935973,0.16775433312541674
Fantasy,1112,6.375734890907342,4.024109332244017,0.15854081901644795
Film-Noir,99,7.572640434579079,2.4346558653543133,0.013379481579385505
History,389,7.087426334639447,3.1740632183914252,0.05743996312358455
Horror,1535,5.967400352750014,4.166345503812932,0.1418350196530137
Music,366,6.7399410119799095,3.9988149114098497,0.12531888007079076
Musical,288,6.961344256039665,4.0391488492885435,0.10699110042748672
Mystery,1246,6.434381419955958,3.497115823649601,0.12472147208035748
Romance,2339,6.670517402470273,3.6340890443917013,0.1025267969940668
Sci-Fi,1207,6.237940487716174,3.9167006269138978,0.17283201558333922
Sport,318,6.684835469218611,3.476981624852851,0.12703614288504042
Thriller,3259,6.36036967477642,3.5312389346743847,0.12403041854661308
War,442,7.030668884436058,3.2114165251584637,0.08198121974528877
Western,246,6.951110276754482,3.0254878336121322,0.0750089384262579
